"Story","Title","Result","Date","Stability","Duration (s)"
"Validate the endopoint get List Users","As a user, Juan needs to get the list of all users from de users API","SUCCESS","2023-11-19T22:33:24.363951-05:00[America/Bogota]","0.0","0.75"
"Validate the endopint Update Users.","As a User created on the system, Juan needs update his userinfo from the API","SUCCESS","2023-11-19T22:33:25.215861-05:00[America/Bogota]","0.0","0.81"
